date,campaign_type,customer_segment,impressions,clicks,conversions,spend,revenue_generated,region,ctr,conversion_rate,roi
2023-08-27,Influencer,Students,33450,4923,452,8205.67,34365.51,North,0.1472,0.0918,3.188
2023-08-11,Google Ads,Students,45487,2675,395,4201.04,3883.36,West,0.0588,0.1477,-0.0756
2023-12-18,Social Media,Seniors,34801,4186,10,3278.58,46649.48,West,0.1203,0.0024,13.2286
2023-06-18,TV,Young Adults,46674,4408,429,8272.81,8588.73,Central,0.0944,0.0973,0.0382
2023-11-13,Google Ads,Seniors,655,3079,440,6900.81,22511.57,North,4.7008,0.1429,2.2622
2023-01-03,Influencer,Students,22695,2466,147,3501.15,46165.6,North,0.1087,0.0596,12.1858
2022-06-06,Email,Parents,27220,2777,374,5343.69,41459.79,South,0.102,0.1347,6.7586
2023-04-08,SEO,Young Adults,38152,2422,298,9612.54,24481.57,South,0.0635,0.123,1.5468
2023-08-03,TV,Students,15073,3072,94,7523.73,10504.64,North,0.2038,0.0306,0.3962
2022-06-10,Social Media,Students,8477,2146,370,2294.48,25561.2,Central,0.2532,0.1724,10.1403
2022-06-23,Influencer,Seniors,39424,4350,297,3020.81,27472.19,East,0.1103,0.0683,8.0943
2023-05-14,TV,Professionals,22304,1813,382,2725.68,49847.44,East,0.0813,0.2107,17.2881
2023-07-04,Influencer,Students,29353,1106,233,8498.65,41236.76,South,0.0377,0.2107,3.8522
2022-12-02,Social Media,Professionals,31110,3758,148,6450.05,43093.59,West,0.1208,0.0394,5.6811
2022-01-26,Social Media,Young Adults,5774,220,124,9405.97,49312.13,East,0.0381,0.5636,4.2426
2023-05-19,Email,Parents,20891,543,411,1000.25,26261.3,West,0.026,0.7569,25.2547
2022-10-26,TV,Professionals,5358,950,268,614.84,29344.28,West,0.1773,0.2821,46.7267
2023-03-13,Email,Professionals,48396,3947,248,6794.4,22831.32,North,0.0816,0.0628,2.3603
2022-01-11,Email,Professionals,15707,1275,462,2739.58,6447.61,East,0.0812,0.3624,1.3535
2022-08-26,Email,Professionals,37946,21,382,6823.8,26357.78,East,0.0006,18.1905,2.8626
2023-09-11,SEO,Professionals,22923,2011,98,7262.35,29212.93,West,0.0877,0.0487,3.0225
2023-02-14,Google Ads,Young Adults,16560,526,448,3114.36,12016.15,West,0.0318,0.8517,2.8583
2022-11-30,Social Media,Students,16463,4899,106,9531.41,39184.65,North,0.2976,0.0216,3.1111
2022-11-09,Email,Parents,21860,4452,370,7769.93,6399.22,Central,0.2037,0.0831,-0.1764
2022-01-01,Google Ads,Students,45863,2077,166,3736.82,25199.56,East,0.0453,0.0799,5.7436
2023-06-07,Google Ads,Young Adults,2199,1734,450,4179.97,33203.11,East,0.7885,0.2595,6.9434
2023-11-01,Google Ads,Young Adults,23718,2193,113,7187.13,2935.58,North,0.0925,0.0515,-0.5916
2022-03-29,Email,Professionals,27176,4551,58,3109.96,40241.85,North,0.1675,0.0127,11.9397
2022-08-30,Google Ads,Young Adults,25789,182,480,3024.21,15346.88,Central,0.0071,2.6374,4.0747
