date,region,product,channel,units_sold,unit_price,discount_pct,customer_age,customer_gender,returned,revenue,cost,profit
2022-04-13,South,Laptop,Wholesale,15,1418.17,0.05,46,Male,0,20208.92,8443.92,11765.0
2023-03-12,East,Laptop,Retail,93,186.36,0.01,44,Female,0,17158.17,9662.79,7495.38
2022-09-28,West,Laptop,Wholesale,47,688.75,0.23,42,Other,0,24925.86,13870.84,11055.02
2022-04-17,Central,Phone,Wholesale,45,304.77,0.02,63,Male,0,13440.36,6632.98,6807.38
2022-03-13,South,Tablet,Retail,5,1343.28,0.04,52,Female,0,6447.74,4487.38,1960.36
2023-12-02,East,Headphones,Wholesale,78,1447.58,0.17,44,Male,0,93716.33,39446.46,54269.87
2022-01-21,West,Monitor,Direct,53,728.48,0.18,28,Female,0,31659.74,18073.15,13586.59
2023-09-07,West,Phone,Retail,66,173.94,0.21,34,Female,0,9069.23,4335.68,4733.55
2022-05-02,North,Laptop,Retail,62,1182.24,0.12,48,Female,0,64503.01,25838.2,38664.81
2023-04-12,North,Phone,Online,23,1051.77,0.23,35,Male,0,18626.85,12970.9,5655.95
2022-08-03,South,Keyboard,Online,44,544.91,0.29,36,Male,0,17022.99,9268.74,7754.25
2022-11-27,North,Headphones,Retail,52,1333.36,0.08,67,Other,0,63787.94,41918.7,21869.24
2023-04-04,South,Laptop,Retail,46,1464.23,0.21,55,Other,0,53210.12,34694.07,18516.05
2022-03-29,Central,Monitor,Online,19,845.62,0.28,46,Other,0,11568.08,7446.18,4121.9
2023-01-08,South,Laptop,Direct,88,857.28,0.21,32,Other,0,59598.11,32046.21,27551.9
2022-04-10,North,Headphones,Wholesale,84,460.32,0.2,24,Female,0,30933.5,20687.64,10245.86
2023-10-26,Central,Monitor,Wholesale,47,885.07,0.07,54,Male,0,38686.41,19737.1,18949.31
2022-05-11,North,Headphones,Wholesale,91,670.67,0.16,54,Female,0,51266.01,26787.31,24478.7
2023-10-24,South,Monitor,Retail,52,467.24,0.17,24,Male,0,20166.08,9613.4,10552.68
2022-11-05,East,Tablet,Direct,24,119.43,0.21,39,Male,0,2264.39,1210.15,1054.24
2022-12-10,West,Webcam,Online,17,394.01,0.3,29,Female,0,4688.72,3263.11,1425.61
2023-05-07,North,Tablet,Direct,89,312.82,0.01,25,Female,0,27562.57,15765.02,11797.55
